,error,error/h,error/h^2,error/h^3
0.1,8.01350225325681e-05,0.000801350225325681,0.008013502253256808,0.08013502253256809
0.05,1.0212612415072542e-05,0.00020425224830145083,0.004085044966029016,0.08170089932058032
0.025,1.2891971705730754e-06,5.1567886822923015e-05,0.00206271547291692,0.08250861891667681
0.0125,1.6195084007186722e-07,1.2956067205749378e-05,0.00103648537645995,0.082918830116796
